0,50903
0,514102
0,511121
0,514243
0,512602
0,507865
0,508393
0,512836
0,506959
0,50436
0,506576
0,51182
0,504193
0,510798
0,506433
0,513093
0,505111
0,509552
0,505083
0,515889
0,506244
0,504549
0,506005
0,509736
0,503066
0,51131
0,506139
0,507919
0,51295
0,511073
0,508318
0,504291
0,506054
0,504159
0,503803
0,507621
0,511001
0,512894
0,507125
0,506452
0,504711
0,505273
0,502093
0,510167
0,500915
0,506532
0,508556
0,514382
0,507607
0,517506
0,502447
0,502402
0,508038
0,51046
0,506827
0,509572
0,502253
0,508556
0,527583
0,515625
0,510754
0,517475
0,502212
0,507021
0,511974
0,50596
0,502903
0,506497
0,510933
0,505706
0,5086
0,503094
0,507296
0,507561
0,508302
0,508564
0,505024
0,504595
0,509612
0,50523
0,507969
0,504417
0,524375
0,509953
0,5122
0,513625
0,504282
0,500968
0,517908
0,506289
0,504108
0,511701
0,507505
0,503207
0,51142
0,501531
0,508275
0,506513
0,506366
0,509212
