1,08138
13,7566
2,06347
1,79265
3,19387
18,4281
1,42674
5,01714
2,03525
1,18507
4,83085
3,90633
0,344429
8,34558
0,717133
35,232
8,29579
7,51863
1,73586
10,2898
2,70297
6,18925
1,3898
5,46781
2,18425
6,8378
8,68027
2,35718
4,45885
4,0434
12,1671
3,45926
19,2733
5,72267
0,555546
2,05039
5,9907
11,7812
1,02102
2,08797
0,432196
0,379327
2,07299
1,7878
0,400976
3,56184
2,05022
3,05723
4,10136
22,9555
0,733868
5,03758
1,60353
0,511935
2,23272
14,3825
8,2796
1,5347
0,894705
6,98
2,31844
2,2375
0,854993
2,3444
1,96342
2,80987
2,26816
1,10003
13,7495
2,6692
3,5702
6,60227
18,7922
1,43771
2,63874
7,24025
1,08522
1,56202
7,99268
8,32262
7,2784
1,2594
5,51561
4,42817
1,05399
9,95286
0,659459
3,96709
4,76389
8,47818
8,98649
4,88959
9,93997
9,88962
9,87532
2,81224
2,60101
1,12166
2,56813
1,29559
